Картофельное пюре нордских воинов,Potato,Картошка,Millet,Пшено
Ризотто со свеклой по-бравильски,Beets,Свекла,Saltrice,Солёный рис
Бифштекс из оленины с чесноком и перцем,Game,Дичь,Garlic,Чеснок
Ведьмина рыба с чесноком по-лилмотски,Fish,Рыба,Garlic,Чеснок
Фаршированный перец с пшеном и говядиной,Red Meat,Красное мясо,Millet,Пшено
Сырная тарелка с фруктами по-фестхолдски,Jazbay Grapes,Виноград джабзи,Cheese,Сыр
Трижды запеченный гор-яблочный пирог,Apples,Яблоки,Saltrice,Солёный рис
Сытый кукурузный суп-пюре с чесноком,Corn,Кукуруза,Garlic,Чеснок
Тенмарский кускус из пшена с морковью,Carrots,Морковь,Millet,Пшено
Виски «Кристальная башня»,Rye,Рожь,Isinglass,Желатин
Коловианское имбирное пиво,Yeast,Дрожжи,Ginger,Имбирь
Крагенмурский бодрящий мацт,Rice,Рис,Metheglin,Метеглин
Маркартский мед,Barley,Ячмень,Metheglin,Метеглин
Освежающий чай «Глотка барда»,Jasmine,Жасмин,Lemon,Лимон
Раскаяние мутсэры,Bittergreen,Горьколистник,Metheglin,Метеглин
Розовый чай «день крепкой любви»,Rose,Роза,Honey,Мёд
Вечночерный кофе ноктюрнал,Coffee,Кофе,Isinglass,Желатин
Гипергональный напиток фира,Acai Berry,Ягоды асаи,Ginger,Имбирь
Густой гуаровый тоник Хасфата,Guarana,Гуарана,Honey,Мёд
Лимонный каве «старый хегат»,Coffee,Кофе,Lemon,Лимон
Настойка «вечер фредаса»,Guarana,Гуарана,Metheglin,Метеглин
Тоник ворожеи,Ginkgo,Гингко,Ginger,Имбирь
